MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
TATSIS,-40.55854,-40.57108,-24.6202,-0.00836
WORNEY,-38.1843,-38.19266,-22.56782,-0.00836
QOMRUH,-29.41466,-29.4272,-15.05218,-0.01254
GULBAR,-35.22904,-35.3001,-26.99862,-0.07106
UKALEZ,-37.0975,-37.17692,-21.25948,-0.07942
WAHGAQ,-31.5381,-31.6426,-19.6669,-0.1045
PEBXIF,-34.8194,-34.9448,-20.27718,-0.12122
ESIDOB,-35.56344,-35.68884,-20.12252,-0.1254
NEJSOM,-30.94872,-31.08248,-18.61772,-0.13376
EWESAC,-46.78256,-46.92468,-26.0623,-0.14212
JIZWOG,-37.57402,-37.71614,-22.24596,-0.1463
YUWHOO,-16.55698,-16.70746,14.7763,-0.15048
ESASEY,-36.82162,-36.97628,-19.37848,-0.15466
HUVGEM,-42.45626,-42.62764,-23.33694,-0.1672
NOMQAJ01,-33.44836,-33.61974,-19.76722,-0.17138
LABJUV,-29.4481,-29.61948,-16.01776,-0.17138
WOBMIL01,-37.36502,-37.55312,-26.61406,-0.1881
GIYSEN,-34.44738,-34.65638,-18.6846,-0.21318
EYULOA,-34.7567,-35.01168,-21.1508,-0.25498
ZIKJOU,-39.99424,-40.27012,-22.88968,-0.27588
FUBNOH,-34.1924,-34.46828,-22.13728,-0.27588
DEJRUH,-34.43484,-34.7149,-18.6428,-0.28006
QOXNIB,-37.60746,-37.90006,-19.62928,-0.2926
DIXJIF,-33.32714,-33.6281,-25.45202,-0.30096
YASPEP,-45.50348,-45.83788,-22.24178,-0.3344
MARLAS,-33.54868,-33.88308,-20.47364,-0.3344
BACMOH,-37.09332,-37.4319,-18.65534,-0.33858
YEGKOM,-28.92142,-29.27254,-17.58108,-0.35112
DIBXAO,-31.32074,-31.67186,-15.58722,-0.35112
AFITEP,-37.44862,-37.8081,-21.74018,-0.35948
SAKDEP,-41.1103,-41.49068,-23.19482,-0.38038
SAKCIT,-37.4528,-37.83318,-21.0463,-0.38038
WUYTUH,-35.08274,-35.51328,-18.93122,-0.43054
HGCNCO,-25.17614,-25.63176,-14.70524,-0.45562
DUPKEG,-33.92488,-34.4014,-21.5061,-0.4807
DOYBUQ,-33.98758,-34.48082,-18.36274,-0.49324
VEWXAY,-32.95094,-33.44418,-19.50388,-0.49324
LUMYOJ,-29.23074,-29.72398,-16.94572,-0.49324
CUCSAU,-31.38762,-31.8934,-19.24472,-0.50578
GIYSIR,-31.56318,-32.09404,-17.98236,-0.53086
HAKYEA,-37.96694,-38.56886,-19.88426,-0.59774
FECKAA,-39.69746,-40.2952,-27.9433,-0.59774
OTOVAW,-41.33184,-41.95884,-24.13532,-0.627
YORQAZ,-32.24452,-32.88824,-25.48964,-0.64372
GELJAJ,-36.52902,-37.19364,-22.3839,-0.66462
UQOGAK,-36.65442,-37.32322,-23.20318,-0.6688
QARCET,-34.53098,-35.20814,-22.05368,-0.67716
XAKRAE,-31.44614,-32.1442,-32.39082,-0.70224
GOBSUM,-35.74318,-36.48304,-20.05564,-0.74404
XIHRIQ,-38.9576,-39.73926,-22.61798,-0.78166
MICNES,-34.25928,-35.0702,-17.42642,-0.81092
NEJRUR,-33.78276,-34.59368,-19.04408,-0.81092
MOGNAY,-38.97014,-39.7936,-19.28652,-0.82346
LORMOW,-38.67754,-39.5219,-21.13408,-0.84436
ROJDAX01,-38.15086,-39.03702,-19.437,-0.88616
SIVGEL,-36.1779,-37.09332,-20.66174,-0.9196
PAQFIY,-39.60968,-40.6087,-27.39572,-0.99902
BAPVEW,-42.01318,-43.02056,-22.99,-1.0032
XORGUI,-44.39578,-45.4157,-26.7311,-1.01992
AJIMEN,-53.1487,-54.18952,-29.24746,-1.04082
FERVOP,-35.70556,-36.75892,-23.39964,-1.04918
ILOTOT,-38.1007,-39.1666,-24.23564,-1.0659
VAHQAY,-39.49682,-40.5669,-19.93024,-1.07008
WOVDES,-43.77296,-44.84722,-27.22434,-1.07426
TEBSAW,-36.3242,-37.39846,-19.30742,-1.07844
YORGIX,-35.34608,-36.46214,-22.45078,-1.11606
IVIXIW,-35.321,-36.47886,-20.05146,-1.15368
ARAHIM,-56.83128,-57.99332,-22.7392,-1.16204
XEJWUG,-40.97654,-42.14694,-24.06008,-1.17458
PEQHOK,-32.32394,-33.49852,-19.87172,-1.17458
IVEMIH,-38.82384,-39.99842,-26.96936,-1.17458
QUPJAN,-45.07712,-46.2935,-25.56906,-1.21638
WOZGOH,-29.51916,-30.78152,-16.72,-1.26654
TUJFUB,-34.62294,-35.89784,-19.4997,-1.27072
EQERIC,-36.3033,-37.62418,-19.34504,-1.32088
OBUFIB,-41.53248,-42.85336,-21.51028,-1.32506
TORXIJ,-28.25262,-29.62784,-20.01384,-1.37522
INIQIH,-36.60008,-37.98366,-24.42792,-1.38358
UXUZAP,-34.69818,-36.0943,-19.99712,-1.39612
WOPDEL,-39.7309,-41.13538,-22.5302,-1.40448
TOJXOH,-28.87544,-30.29246,-15.26118,-1.41284
SALSEF,-35.30846,-36.75056,-17.58526,-1.4421
XEJXAN,-40.22414,-41.69968,-24.15622,-1.47554
UTUMAY,-41.6955,-43.20448,-21.76526,-1.5048
GUYLUI01,-35.12036,-36.6586,-20.70772,-1.53406
KOTYEZ01,-29.68218,-31.2246,-16.84958,-1.54242
QIVYUR,-36.72548,-38.30134,-20.0849,-1.57586
WIZFES,-27.39154,-28.97158,-14.75958,-1.57586
VEDGAO,-34.38886,-35.9689,-19.62928,-1.58004
YEGDAR,-46.7115,-48.31662,-25.5816,-1.60512
CUYYAX,-29.98732,-31.62588,-16.87048,-1.63856
KEVBOE,-34.55606,-36.19462,-18.9563,-1.63856
UKUMAO,-29.39376,-31.04904,-13.58918,-1.65528
AJINOY,-38.77786,-40.44986,-19.71706,-1.672
HIFGOU,-37.3901,-39.09972,-23.34948,-1.7138
HOBGEL,-39.16242,-40.91384,-22.28358,-1.75142
POSGEL,-36.35764,-38.13414,-22.70576,-1.77232
VAHSIH,-47.5684,-49.3449,-27.6716,-1.7765
WITLOC,-37.40264,-39.19168,-20.89164,-1.78904
BIMDIL,-40.89294,-42.69034,-21.8405,-1.79322
VONSEY,-34.3805,-36.18208,-18.04088,-1.80158
ECIWOC,-35.1956,-37.00554,-20.74534,-1.80994
MIXYEZ,-41.0058,-42.81992,-23.5543,-1.81412
QEVKOS,-43.59322,-45.4366,-25.23048,-1.84338
MAYPIM,-43.3257,-45.19416,-25.5398,-1.86846
UZIZUZ,-41.45306,-43.33406,-21.57298,-1.881
TOZHAR,-31.93938,-33.82874,-14.68852,-1.88936
PIXHUB,-36.157,-38.05054,-22.09966,-1.89772
NADZID,-40.93056,-42.83246,-24.75814,-1.9019
AVUDAX,-31.4336,-33.36476,-17.98236,-1.93116
IVIKAA,-38.1843,-40.1489,-19.30324,-1.9646
PEFTAX,-36.8049,-38.77786,-23.37456,-1.97296
MAHGAG,-37.63672,-39.60968,-20.13088,-1.97714
FUFVAF,-44.0154,-46.0218,-26.24622,-2.01058
RONSOE,-32.00626,-34.01266,-17.37626,-2.01058
AMOYOR,-36.54992,-38.5605,-19.31996,-2.01058
ZONBAH,-35.9271,-37.9753,-30.21722,-2.0482
ZUMMIF,-31.21206,-33.26026,-18.2457,-2.0482
XUNGOD,-34.46828,-36.54156,-20.92508,-2.07328
HIVQAG,-40.21578,-42.36012,-23.99738,-2.14852
HEXNUU,-43.5765,-45.75846,-24.78322,-2.18196
OSAXAI,-41.83762,-44.03212,-24.07262,-2.1945
VIZRIH,-31.559,-33.7535,-18.3084,-2.19868
VAHPUR,-41.2357,-43.44274,-20.26046,-2.20704
ESUVAR02,-45.53692,-47.74814,-35.32518,-2.21122
LABNOU,-29.4063,-31.63424,-16.61968,-2.22794
MAZSOX,-31.1201,-33.39402,-18.4129,-2.26974
WANJIF,-40.63796,-42.92442,-23.30768,-2.28646
FERVIJ,-31.88922,-34.17986,-23.98902,-2.29064
YOZSAJ,-39.9817,-42.33504,-18.71804,-2.35334
HIHFOV,-40.82606,-43.2003,-23.14466,-2.37424
VAJVEJ,-42.50642,-44.96844,-21.51864,-2.46202
OCOKUP,-39.0203,-41.49486,-22.91476,-2.47456
PAFNAO,-43.38004,-45.86296,-22.89386,-2.4871
GAHPEN,-35.6136,-38.1007,-23.52086,-2.4871
OTARIL,-37.79556,-40.29102,-21.85722,-2.49546
MOPKEJ,-76.69882,-79.19846,-56.60138,-2.49964
MUMZAX,-24.06426,-26.56808,-14.24962,-2.50382
COXCUP,-35.8853,-38.40584,-19.80484,-2.52054
MAZSUD,-37.9962,-40.55436,-23.60446,-2.55816
KOKSIO,-42.4688,-45.03114,-24.13532,-2.56652
TOKLIQ,-27.32048,-29.887,-16.9917,-2.56652
IDAGOL,-39.28782,-41.87106,-20.27718,-2.58324
ROJCIE,-32.8339,-35.4464,-19.67526,-2.6125
OTIQAL,-37.37756,-40.01932,-18.94376,-2.64594
RONZOJ,-30.08764,-32.75866,-15.78368,-2.67102
LAMFIO,-22.09966,-24.7874,-12.80752,-2.68356
DONXUB,-41.41126,-44.11154,-23.13212,-2.70028
JOGBIR,-38.09234,-40.80516,-19.58748,-2.71282
MUPYOM,-29.66964,-32.37828,-18.22062,-2.71282
AVUHIJ,-44.96008,-47.66872,-24.74978,-2.71282
POZKUL,-23.73404,-26.4594,-9.43426,-2.72536
YARDIG,-35.49656,-38.28044,-24.69544,-2.78388
NAFGOR,-36.17372,-38.9576,-19.855,-2.78388
TIYZIK,-30.64358,-33.44,-16.11808,-2.79642
ACOLIP,-38.89072,-41.70804,-27.7761,-2.81732
USOXEH,-31.09084,-33.9207,-17.96564,-2.82986
VALZIU,-39.7727,-42.6151,-23.3244,-2.8424
OTIPUE,-40.14054,-42.99548,-24.15622,-2.85494
NIMPEG,-30.2841,-33.15576,-17.35536,-2.87166
KIPZEQ,-35.66376,-38.55632,-19.30742,-2.88838
JAVWUY,-28.79184,-31.68858,-16.96244,-2.89674
MUGFOK,-29.34778,-32.25706,-16.3438,-2.90928
IZUMUM,-28.72078,-31.65096,-19.94278,-2.93018
CEHZAR,-7.79152,-10.73006,10.41656,-2.93436
ETIXUC,-32.48696,-35.42968,-17.50166,-2.94272
VIXTUT,-39.57206,-42.52732,-23.63372,-2.95526
PUVHAR,-26.95264,-29.92462,-15.76696,-2.97198
WUPMOL,-39.59296,-42.5733,-22.85624,-2.97616
KUFVEO,-33.69916,-36.6795,-19.40774,-2.98034
BEPVAV,-32.63744,-35.74736,-19.1444,-3.10992
PEHTON,-27.28704,-30.42204,-15.9885,-3.135
LASPOM,-42.38938,-45.55364,-21.82796,-3.16426
BENXUP,-60.4219,-63.59452,-32.90914,-3.1768
MAFMAK,-33.82874,-37.04316,-19.07334,-3.21442
SOJDEB,-34.70654,-37.92096,-20.2939,-3.21442
HOBGIP,-38.2052,-41.45306,-22.32538,-3.24786
XALTEK,-28.09796,-31.35,-18.7682,-3.25204
ZAXTAV,-41.62862,-44.8932,-23.27842,-3.26458
VAJTEH,-37.29396,-40.5878,-22.08712,-3.29384
JODGAM,-33.0011,-36.29912,-19.21128,-3.29802
FIBHIJ,-30.23394,-33.5445,-19.69616,-3.31056
KORMOV,-38.09652,-41.41126,-22.363,-3.31474
ZARTAP03,-39.49264,-42.81574,-19.84246,-3.31892
NIVNOW,-34.70236,-38.02964,-19.7714,-3.3231
UKULOB01,-27.32884,-30.6603,-13.88178,-3.33146
ENAQER,-43.46782,-46.84526,-23.56684,-3.37744
RUJGOT,-48.61758,-51.9992,-31.38762,-3.38162
LACJIL,-35.45476,-38.84474,-19.18202,-3.39416
HOBGAH,-25.81986,-29.25164,-16.4483,-3.4276
QOZDOY,-34.86538,-38.29716,-19.89262,-3.43178
OLOPOW,-31.66768,-35.10364,-17.20488,-3.43596
ADIQEL,-40.546,-44.00286,-22.16654,-3.45686
DOGMET,-47.52242,-51.01272,-28.17738,-3.4903
KURSOH,-34.70654,-38.20102,-20.50708,-3.4903
XAKCUK,-33.83292,-37.3274,-18.29168,-3.49448
QUQPUO,-40.01932,-43.52216,-22.37136,-3.50284
OZUKOK,-22.0704,-25.57742,-4.9324,-3.50702
QIWDOR,-40.43314,-43.94434,-20.0222,-3.5112
BEPVEZ,-33.21846,-36.73384,-17.5769,-3.51538
UJOJIO03,-27.22016,-30.73554,-14.57148,-3.51538
CAZFOA,-51.01272,-54.53228,-27.1282,-3.51956
EBOTOF,-47.3385,-50.87478,-26.15008,-3.54046
VIQQUJ,-38.23446,-41.7791,-21.15498,-3.54464
OMIPAD,-37.28978,-40.8386,-22.04114,-3.54882
HALQUJ,-37.75794,-41.32766,-17.66886,-3.56972
ABAVOP,-42.3434,-45.92984,-26.28384,-3.58644
ULEPIM,-36.93866,-40.52928,-27.26614,-3.59062
CUTKOS,-33.26026,-36.87178,-19.70034,-3.61152
QIFLIC,-32.98856,-36.60844,-20.23956,-3.61988
ARAHIM02,-60.00808,-63.62796,-23.62954,-3.61988
WOCVUG01,-34.62712,-38.25118,-24.08516,-3.62406
NASDIW,-27.30376,-30.9529,-17.50166,-3.64914
KONYOB,-29.56514,-33.24354,-18.68042,-3.6784
FURFOP,-39.40486,-43.09162,-24.28162,-3.68676
QOVXAC,-48.92272,-52.62202,-28.97158,-3.70348
OLOPEM,-35.6763,-39.37978,-22.363,-3.70766
CUYHIO,-45.78772,-49.52046,-23.21154,-3.73274
XUMNEA,-36.784,-40.53764,-21.76526,-3.75782
UGAQEY,-34.68982,-38.45182,-19.34922,-3.762
WUPMEB,-35.44222,-39.24602,-24.54496,-3.79962
TARVOX,-25.29736,-29.10952,-13.76892,-3.81634
WIQRUL,-34.9866,-38.80712,-22.06622,-3.82052
LEWTUD,-41.44888,-45.27776,-28.18574,-3.82888
WEHNAA,-33.9834,-37.81646,-25.26392,-3.83724
GAXGOD,-38.46018,-42.37266,-21.62314,-3.91248
DUXMAL,-40.47912,-44.47938,-21.87394,-3.99608
YUKBIP01,-30.514,-34.51426,-19.31996,-3.99608
PEPKOL,-40.39134,-44.3916,-24.4321,-4.00026
GOGWAB,-44.01122,-48.04074,-18.34184,-4.02952
OHEQUP03,-41.29422,-45.3321,-25.97034,-4.03788
OTIPAK,-32.04806,-36.09848,-18.84344,-4.05042
DUBXOP,-35.4255,-39.49682,-21.3598,-4.07132
NEHNEV01,-39.03702,-43.11252,-20.65756,-4.0755
AVAGOV,-32.56638,-36.65442,-20.03892,-4.08804
WOSHET,-37.42772,-41.52412,-20.82058,-4.0964
COXDEA,-37.92096,-42.02572,-15.22356,-4.10476
MABCUQ,-26.40088,-30.50982,-16.9499,-4.10894
XUYXAR,-33.69916,-37.81228,-20.72026,-4.11312
WABTOK,-41.41126,-45.55364,-17.76082,-4.14238
POSGUB,-37.03062,-41.18136,-18.44634,-4.15074
WASMIP01,-32.87988,-37.04316,-21.4643,-4.16328
LOXVUR,-30.76062,-34.93644,-18.98556,-4.18
GUVBEF,-43.12088,-47.32178,-24.28162,-4.2009
JOKYAJ10,-26.78544,-30.98634,-14.59238,-4.2009
WOHBOL,-26.81888,-31.02396,-18.13284,-4.20508
VUMBIQ,-47.97386,-52.18312,-25.93272,-4.20926
UVUQAE,-41.62026,-45.84206,-20.73698,-4.2218
FIFMUE,-41.8836,-46.11376,-24.75814,-4.22598
EBEMOO,-36.14446,-40.38298,-18.81418,-4.23852
LAJFAG,-39.70164,-43.96524,-20.19776,-4.2636
DONNEA,-46.27678,-50.54456,-34.94062,-4.26778
UVOTEG,-36.0316,-40.30774,-20.75788,-4.27614
POXLEV01,-34.4014,-38.67754,-19.62928,-4.28032
MICNOC,-33.22264,-37.50296,-19.39938,-4.2845
IMISED,-40.11546,-44.40832,-23.01926,-4.29286
EQOCES,-41.24406,-45.5411,-25.6652,-4.29286
PECLEP,-40.97236,-45.31956,-21.64822,-4.34302
CISLUN,-28.45744,-32.80464,-15.76696,-4.35138
JOBKUI,-48.16196,-52.5217,-16.21004,-4.35974
XUNSOQ,-32.89242,-37.25634,-19.67108,-4.35974
LAVCUJ,-69.37128,-73.7352,-35.8017,-4.36392
EXENAX,-27.74684,-32.11912,-17.00006,-4.37228
GUFQIJ,-36.04414,-40.41642,-20.24374,-4.37228
PEWKOT,-44.70092,-49.11082,-25.10508,-4.4099
GARPAR,-33.34386,-37.7663,-18.94376,-4.42244
CEHZAR01,-10.61302,-15.03964,10.16994,-4.4308
BOWSIQ,-48.34588,-52.78086,-26.45522,-4.43498
DIMQOH,-26.28802,-30.72718,-15.99686,-4.43916
BEPVOJ,-33.95832,-38.39748,-19.855,-4.43916
CIDLAE,-37.14348,-41.60354,-17.83188,-4.45588
SIVGOV,-36.575,-41.06014,-21.47684,-4.48514
FEFZOF,-30.4931,-35.01168,-16.25184,-4.5144
LUSJAL,-47.43046,-51.9574,-25.80314,-4.52276
NOFMIG01,-33.5863,-38.13832,-19.02318,-4.55202
SETQIT,-41.173,-45.72502,-24.88772,-4.5562
UHASED,-39.9817,-44.54208,-21.68584,-4.56038
KUFVIS,-37.2229,-41.84598,-19.40774,-4.62308
GAWCUF,-43.78132,-48.4044,-23.46234,-4.62308
SEMPUX,-37.87916,-42.5106,-20.29808,-4.63144
DEJCEB,-42.75304,-47.38866,-21.08392,-4.63562
MOGVAG,-47.23818,-51.88634,-24.9964,-4.64816
BACMOH10,-43.63502,-48.28736,-24.28162,-4.65234
NIKJAT,-39.99006,-44.65494,-25.27228,-4.66488
SIWGUB,-31.27058,-35.94382,-19.2698,-4.66906
TAXHUX,-32.8548,-37.52386,-20.07236,-4.67324
JAHNEM01,-26.21278,-30.8902,-13.99464,-4.67742
FIHLUF,-43.00384,-47.68962,-27.05714,-4.68578
YOZROW,-47.99894,-52.70562,-21.7151,-4.71086
CUWYIE,-38.58976,-43.3257,-25.63594,-4.73594
NUHZAS,-41.37364,-46.11794,-21.91574,-4.7443
MUDKOM,-48.54234,-53.29918,-23.32022,-4.75684
NUCBIY,-36.89268,-41.72058,-23.70478,-4.8279
LAVCOD,-72.15934,-77.00396,-35.98562,-4.84462
DACXOV,-38.04636,-42.91188,-33.36476,-4.86552
YAQDIF,-40.24922,-45.15654,-22.9482,-4.90314
TADYII,-34.79014,-39.70164,-17.22578,-4.9115
YARDEC,-34.62294,-39.55534,-24.62438,-4.9324
SIWTOJ,-54.12682,-59.05922,-42.95786,-4.9324
XALPUY,-36.56664,-41.50322,-21.85304,-4.93658
IGUCIY,-39.56788,-44.52536,-21.14244,-4.95748
QEZZIF,-35.79334,-40.7968,-21.35144,-5.00346
YARFII,-37.83736,-42.84918,-20.57814,-5.01182
YUZBUS,-55.22198,-60.24216,-43.26718,-5.02018
WEFCAN,-32.43262,-37.46534,-21.9868,-5.03272
XAPGOK,-31.1828,-36.22388,-19.59166,-5.04108
ECIWUJ,-32.18182,-37.26052,-13.2088,-5.0787
EZABAJ,-32.19854,-37.28142,-16.5528,-5.08706
XOBXIW,-35.98144,-41.07686,-21.21768,-5.09542
YICREI,-35.94382,-41.0476,-18.75984,-5.10378
HEGPAL,-41.18136,-46.31858,-23.87616,-5.13722
GETXAG01,-35.30428,-40.47494,-18.8518,-5.17066
SODKON,-21.62314,-26.7938,-5.5176,-5.17066
XAXQEU,-48.7806,-53.95126,-40.27012,-5.17066
EQIWAD,-34.15478,-39.33798,-8.04232,-5.1832
OBUFEX,-32.5622,-37.76212,-18.8309,-5.19992
UMEXUF,-39.03284,-44.25784,-18.8727,-5.225
PIHNUQ,-36.0734,-41.30258,-21.28038,-5.22918
JOVXEZ,-34.80268,-40.05276,-23.88452,-5.2459
RIPNIP,-36.55828,-41.81254,-18.96466,-5.25426
YEGRAD,-32.99274,-38.25118,-18.52158,-5.25844
NISCOJ,-36.60844,-41.8836,-21.65658,-5.27516
ZUSBIA,-35.02004,-40.2952,-21.07974,-5.27934
EBELUU,-33.7117,-38.99104,-19.77558,-5.27934
ODOXEK,-36.01906,-41.30258,-21.53954,-5.2877
SUGVUM,-41.49486,-46.80346,-24.8292,-5.30442
IFOSIG,-115.73584,-121.0737,-58.44476,-5.33786
TARVUD,-30.33844,-35.6972,-14.89752,-5.35876
LUKRUE,-37.54476,-42.91606,-21.05884,-5.3713
MICDEJ,-47.51824,-52.92298,-28.95486,-5.40474
ARUDAU,-40.90548,-46.3144,-23.34112,-5.40892
XAVFEH,-51.96158,-57.37468,-19.0399,-5.4131
SETFUT,-53.47474,-58.89202,-27.2954,-5.41728
UHOGUV,-32.74194,-38.20102,-19.3743,-5.45908
LOVVAV,-33.97922,-39.4383,-18.19136,-5.45908
VIXVUV,-44.08646,-49.54972,-26.1668,-5.46326
CDLGLU11,-52.40884,-57.90554,-21.0254,-5.4967
VICYUD,-36.9303,-42.46462,-20.40676,-5.53432
ZURROT,-57.5586,-63.09292,-37.78302,-5.53432
HEBKEG,-33.82874,-39.3756,-21.1299,-5.54686
YANBAR01,-33.91234,-39.50936,-19.12768,-5.59284
OTOVIE,-34.43066,-40.04022,-21.98262,-5.60956
KIXXOG01,-55.40172,-61.01128,-27.40408,-5.60956
LEMNOH,-37.32322,-42.95786,-19.7087,-5.63464
GULPIN,-42.16784,-47.80666,-21.38906,-5.63882
SABWAU01,-27.88896,-33.53614,-7.63686,-5.643
EDABOC,-50.47768,-56.14576,-31.27476,-5.66808
XEWRUO,-51.29696,-56.98594,-40.18652,-5.68898
NIKZAJ01,-33.62392,-39.32962,-19.21546,-5.7057
WILHIK,-45.11892,-50.84552,-24.24818,-5.7266
NAXVOY01,-35.47984,-41.2357,-21.8614,-5.75586
SOKDON,-47.86518,-53.62104,-26.42178,-5.76004
CEYPUT,-32.63744,-38.40584,-19.7923,-5.7684
IQOZUJ,-43.96106,-49.72528,-27.97256,-5.7684
HOVGIK,-39.57206,-45.34464,-21.89066,-5.77258
QOZPIG,-47.93624,-53.71718,-23.33694,-5.78094
LASWIN,-45.54946,-51.33876,-27.50022,-5.7893
COVJAA,-34.8403,-40.6296,-20.49454,-5.7893
QOMDUS,-36.575,-42.3643,-26.4385,-5.79348
MUHNAG,-35.31682,-41.16464,-24.79158,-5.84364
OJIWIO,-37.94186,-43.7855,-20.24792,-5.84782
UKAKIC,-41.10194,-46.95812,-28.76676,-5.85618
HOYKUD,-35.5927,-41.45306,-20.32316,-5.86036
ROSCEH,-39.40904,-45.27358,-20.84984,-5.86036
SACCAD,-39.38814,-45.2694,-21.21768,-5.88126
XEDPIH,-33.00528,-38.8949,-18.96048,-5.8938
ETIYEN,-29.58604,-35.49238,-16.58624,-5.90634
IQOJAB,-36.11102,-42.04244,-21.80288,-5.93142
OJIWEK,-37.59492,-43.53052,-22.12474,-5.9356
PIGXUZ,-37.20618,-43.16686,-21.94918,-5.96068
YUJCOX,-37.85408,-43.83148,-18.79746,-5.97322
BOFCEG,-38.67754,-44.65912,-22.19998,-5.98158
LOTDIJ,-40.89294,-46.89124,-21.51446,-5.9983
DONXOV,-31.05322,-37.06406,-18.36692,-6.01084
KOJZUF,-41.55756,-47.57676,-26.7729,-6.01502
JOQZUM,-37.97112,-43.99032,-17.25086,-6.0192
COQJAV,-35.81424,-41.85852,-22.69322,-6.04428
MAVLIH,-32.1233,-38.1843,-19.9386,-6.061
GIFKEL,-31.70948,-37.79556,-18.7891,-6.08608
NIKHUL,-40.65886,-46.80346,-25.0591,-6.1446
GIYTAK,-67.45684,-73.60562,-47.57676,-6.14878
MABKIK,-29.86192,-36.02324,-18.30422,-6.16132
GOGWEF,-38.2261,-44.38742,-16.72,-6.1655
CUXFIL,-37.02226,-43.2003,-19.89262,-6.18222
WOWGEU02,-57.31616,-63.536,-43.32152,-6.21984
NIKJEX,-38.18012,-44.41668,-26.01214,-6.24074
TIPZUP,-30.20886,-36.4705,-16.87466,-6.26164
GUNZIA,-35.22904,-41.5074,-22.32538,-6.27836
CUKZOY,-34.30108,-40.60452,-19.60002,-6.30344
LODTEF01,-37.83318,-44.14498,-24.96714,-6.3118
UDICAN,-47.18802,-53.49982,-23.64626,-6.3118
HAWZEM,-37.96694,-44.29546,-26.5848,-6.32852
KAXZUG,-42.16784,-48.51308,-24.22728,-6.34524
XOMCIN,-37.81228,-44.1826,-24.80412,-6.3745
KUNRAO,-39.17914,-45.55364,-20.47782,-6.3745
KOMGUP,-42.1344,-48.51726,-21.5479,-6.38286
PAKFAL,-32.67506,-39.07464,-15.32388,-6.39958
TUMRUQ,-47.652,-54.08084,-25.09672,-6.42884
LIHSIF,-36.0316,-42.47298,-19.9804,-6.44138
POSGOV,-35.60524,-42.0508,-18.49232,-6.44556
HOYRAQ,-35.16216,-41.61608,-19.30324,-6.45392
PIZREX,-34.63548,-41.09358,-18.67206,-6.4581
WUSCUJ,-27.34556,-33.80784,-12.06766,-6.46228
WOWMEC,-57.65056,-64.12956,-34.40976,-6.479
OCEGIP,-36.71712,-43.22538,-20.1058,-6.50826
MURCAD,-40.74664,-47.27162,-20.86238,-6.52498
AGAYOW,-28.1523,-34.68982,-17.53928,-6.53752
SIVGIP,-36.7422,-43.3048,-26.30056,-6.5626
TIYZEG,-27.26196,-33.82456,-15.6541,-6.56678
GOLYOX,-44.53372,-51.1005,-22.60126,-6.56678
ADABIS,-39.71418,-46.2935,-24.64528,-6.57932
HOVGEG,-30.52654,-37.12258,-16.92482,-6.59604
QIFLOI,-42.87008,-49.4703,-22.08294,-6.60022
PAPPAZ,-32.06478,-38.665,-21.80288,-6.60022
CUWYOK,-40.4415,-47.04172,-22.27522,-6.60022
MAWTUC,-34.80268,-41.4447,-20.26464,-6.6462
HURNOX,-46.22662,-52.87282,-19.2489,-6.6462
GIWMOP,-23.77584,-30.42622,-2.51636,-6.6462
KAVROQ,-34.45156,-41.10612,-17.84442,-6.65456
GIRZAK,-38.82384,-45.49512,-24.14786,-6.67128
DOYLAE,-32.4368,-39.12062,-19.72542,-6.68382
AQUDOH,-38.57304,-45.27776,-22.33792,-6.70472
HOVJIN,-48.1327,-54.87086,-25.46874,-6.73816
LAJJAK,-33.97922,-40.72156,-21.33472,-6.74234
NIYJAI,-34.9448,-41.68714,-21.91574,-6.74652
KUCDOD,-44.21186,-50.996,-28.55776,-6.78414
LARZEL,-43.57232,-50.37736,-22.93566,-6.80504
PEPBAO,-29.68218,-36.49976,-17.6814,-6.81758
GIYSUD,-65.60092,-72.4185,-46.56102,-6.82176
YIWBIR,-35.65122,-42.4897,-19.55822,-6.84266
EPEWEC,-37.52804,-44.37488,-21.41832,-6.84266
CAGKIG,-29.97896,-36.87178,-15.55796,-6.897
BIQHEQ,-39.32544,-46.22662,-18.5174,-6.897
CODSOF,-41.58264,-48.488,-24.41538,-6.90536
XUGDOU,-41.22734,-48.13688,-22.22088,-6.90954
HAXJEX,-35.53836,-42.5106,-19.11514,-6.97642
MUMYAW,-29.48572,-36.4705,-16.72836,-6.98478
NUYWOU,-45.67904,-52.67218,-25.08836,-6.98896
HAJYEZ,-50.23942,-57.27018,-35.25412,-7.03076
QUPHIT,-43.68518,-50.72848,-22.37554,-7.0433
ZUSBOG,-34.24674,-41.31512,-23.2826,-7.06838
PITMOW,-43.29226,-50.37318,-23.21572,-7.08092
POHLOP,-69.58864,-76.69882,-44.92664,-7.106
DEHLAF,-39.71418,-46.84944,-21.20096,-7.13526
CABJOH,-35.99816,-43.13342,-20.61576,-7.13526
NOHHID,-48.8015,-55.95766,-31.19952,-7.15198
QIFLUO,-37.61582,-44.77616,-20.26046,-7.16034
PEKVAE,-40.93474,-48.1327,-23.6797,-7.19378
RIVDEF,-26.14172,-33.33968,-19.67108,-7.19796
YUMFES,-51.68988,-58.8962,-24.9128,-7.20632
MIHBAG,-31.9352,-39.1457,-17.8068,-7.21468
GITZAM,-44.11154,-51.33458,-27.79282,-7.22304
