MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
QIDDAI02,-41.26078,-33.10978,-19.27398,8.151
FALQOA,-37.75376,-29.678,-24.28998,8.07576
OCEGUB01,-46.61118,-38.54796,-25.2263,8.06322
QEGNOH,-35.83096,-27.78864,-21.31382,8.04232
XUNJOG,-31.22042,-23.19482,-15.70426,8.0256
ISOJOQ,-37.11004,-29.10116,-22.0286,8.00888
AROQAB,-36.20298,-28.45744,-20.59486,7.74554
KEVBUK,-37.33994,-29.6153,-18.80164,7.72882
XENZEX,-31.47958,-23.8051,-18.49232,7.67866
SOXHUI,-25.28482,-17.71902,-3.62406,7.56998
PUQYAC,-34.65638,-27.14492,-19.5833,7.51146
IXIKOR,-33.60302,-26.1041,-19.00228,7.49892
DORYUG,-40.70902,-33.21846,-23.86362,7.49474
HAZNON,-33.19756,-25.72372,-21.945,7.47802
MUGQAI,-38.02964,-30.5767,-24.55332,7.45294
DIYKAZ,-40.87204,-33.43164,-25.01312,7.4404
UVINAP,-30.96962,-23.68806,-20.09326,7.28156
SASPIL,-28.41564,-21.15916,-16.88302,7.25648
VASKOR,-53.02748,-45.82534,-35.78916,7.20214
MOYNEU,-44.27456,-37.11004,-25.92436,7.16452
FALQEQ,-37.5364,-30.48474,-22.68486,7.05584
XADGAM,-39.80196,-32.75448,-23.54176,7.04748
CELZIE,-32.94258,-25.90346,-19.97622,7.03912
KUBXOW,-31.75964,-24.74142,-19.25308,7.01822
UDEGIW,-39.83122,-32.82554,-22.35464,7.00568
DAJHOM,-38.17594,-31.17862,-21.79034,6.99732
FALQIU,-37.92514,-31.00724,-22.69322,6.9179
LUFQUZ01,-40.43732,-33.53196,-22.70158,6.90536
WOHCOM,-40.2952,-33.39402,-24.5366,6.897
XUNSAC,-41.41126,-34.51426,-24.22728,6.897
KUMJIN,-41.7373,-34.8821,-25.8951,6.8552
FERCAH,-33.5654,-26.72692,-20.38168,6.83848
NUYQUU,-34.99078,-28.1732,-21.14662,6.81758
REHVAD,-36.52484,-29.74906,-20.47364,6.77578
NIMWUD,-35.37534,-28.68316,-23.48324,6.69218
JILXOS,-38.09234,-31.40016,-19.62928,6.69218
VAZROF,-35.91874,-29.22656,-21.03376,6.69218
FULYIW,-47.57258,-40.89294,-25.64848,6.67964
OHEQUP,-37.11004,-30.43458,-20.15596,6.67546
LUFBUL,-34.39304,-27.7343,-19.37848,6.65874
DAFSOV,-40.16562,-33.51524,-21.6942,6.65038
FUWXOL,-32.22362,-25.63176,-19.5206,6.59186
YAXBOP,-29.18476,-22.7183,-17.19652,6.46646
WILGOO,-32.51622,-26.0623,-20.00548,6.4581
IMIDZB11,-25.43112,-18.98556,-15.53706,6.44556
ARIBOS,-40.75918,-34.41394,-15.98432,6.34524
JIZWIA,-42.6778,-36.33256,-24.61602,6.34524
ARAJIO,-38.9785,-32.75448,-22.14146,6.22402
PUSJUK,-36.73384,-30.514,-20.58232,6.21984
OTARUX01,-7.83332,-1.6302,7.20632,6.20312
CAYDOX06,-29.44392,-23.25334,-15.2779,6.19058
QOGGID,-35.51328,-29.33942,-22.1331,6.17386
LALYOO,-27.2118,-21.04212,-20.0431,6.16968
EROJUS06,-29.26418,-23.15302,-17.67722,6.11116
CECYOY,-38.65664,-32.58728,-22.78518,6.06936
KANDEK,-42.14276,-36.09848,-21.56462,6.04428
RACZEC,-28.40728,-22.36718,-15.56632,6.0401
MILQIJ,-60.37592,-54.33582,-40.28266,6.0401
NUJCIE,-26.59734,-20.61994,-13.00816,5.9774
NEJSEC,-36.5123,-30.63104,-21.62314,5.88544
VAPRIQ,-39.01194,-33.15576,-20.34406,5.85618
WEMFUR,-38.76532,-32.92586,-21.91574,5.83946
NUWVIM,-36.94284,-31.10756,-23.46234,5.83528
YUSGID,-53.13616,-47.35522,-24.19802,5.78094
TIRKEM01,-35.67212,-29.93716,-21.04212,5.73496
YEYBOV01,-27.97674,-22.25014,-17.81098,5.73078
ECASOS,-45.14818,-39.46756,-20.92508,5.68062
MADWAQ,-31.2455,-25.58996,-18.4338,5.65554
RACZIG,-29.18058,-23.5543,-16.302,5.62628
IXOSUL,-37.98784,-32.42008,-21.14244,5.56776
XIHCUN,-43.054,-37.4946,-24.8501,5.55522
LEJCAE,-33.99176,-28.44072,-18.42126,5.55104
AMIKOX,-37.25216,-31.70948,-23.57938,5.54268
POKWIX,-36.80908,-31.2873,-21.52282,5.52178
ZISXIK,-68.75682,-63.29774,-35.16216,5.45908
AGIMOU,-37.85408,-32.40754,-20.61158,5.44654
INALOA,-31.41688,-25.99542,-18.37946,5.42146
QIPROY,-28.35712,-22.94402,-16.4065,5.4131
SALREE,-37.17274,-31.77636,-24.33596,5.39638
DOTHUR,-34.99078,-29.61112,-21.28456,5.37966
FOCYUT,-48.70118,-43.33824,-33.39402,5.35876
RITDEF,-34.84866,-29.5108,-19.92188,5.33786
SINZIA,-36.35346,-31.04904,-21.37652,5.3086
VERPOZ,-40.09456,-34.83194,-22.7183,5.26262
HOQNOS,-42.2389,-36.97628,-30.7439,5.26262
LOLVAJ,-36.85924,-31.60498,-19.7505,5.25426
WOGHEG,-36.75892,-31.5172,-22.50094,5.24172
FOCZEE,-42.86172,-37.65762,-32.70432,5.2041
TAJVOS,-33.33968,-28.13976,-22.89386,5.19574
FAVZEJ,-36.44124,-31.24968,-19.85082,5.19156
WAHMEY01,-30.9111,-25.71954,-23.79256,5.19156
WAHREE,-39.70164,-34.53934,-22.03696,5.1623
EROJUS04,-35.78916,-30.63104,-21.42668,5.15812
IXIKOR01,-32.86316,-27.73012,-19.02318,5.13304
KUMGIK,-37.17692,-32.06478,-18.91868,5.11632
DEBNUU,-75.6162,-70.5166,-27.42498,5.0996
DITYEM,-33.4818,-28.41564,-19.99294,5.06616
NEYBEZ,-35.47566,-30.43876,-20.691,5.0369
MOPGEF,-36.62516,-31.59662,-20.78296,5.02854
JOKYAJ,-24.18548,-19.17366,-13.8776,5.01182
QIDDAI01,-42.7823,-37.79556,-20.51126,4.98256
WOWGEU,-57.0152,-52.03682,-49.46612,4.9742
IGUTUB,-37.06824,-32.10658,-20.13506,4.95748
ARAFOP,-35.32936,-30.38024,-16.9499,4.94494
WUXLEI,-97.72004,-92.78346,-64.94884,4.94076
TOXHEV,-58.46566,-53.57088,-34.9239,4.89478
EMUYAM01,-31.4336,-26.543,-24.3067,4.8906
RIGVOU,-33.03036,-28.13976,-18.39618,4.8906
OWUHEV,-37.05152,-32.16092,-21.85722,4.88642
KEYFUR,-29.0092,-24.13532,-16.54444,4.87806
LULXOG,-32.44516,-27.57128,-18.23734,4.87388
QUMKAM,-47.56004,-42.70706,-27.12402,4.8488
POLYEW,-38.22192,-33.42746,-21.12154,4.79864
JASNAT,-34.92808,-30.15452,-21.51864,4.76938
ATULIM,-32.53712,-27.78864,-19.7714,4.74848
POFGUO,-29.59858,-24.871,-19.34504,4.72758
MUHPAI,-36.35764,-31.68022,-21.25948,4.67742
LOJLON01,-32.02298,-27.34974,-15.37404,4.67324
ZOZSEO,-44.37906,-39.76016,-24.40284,4.6189
VIVSIE,-39.15824,-34.5686,-21.94918,4.58546
CETVAA,-41.69968,-37.13094,-23.10704,4.56874
IYATEI,-51.88634,-47.35522,-26.91502,4.53112
OWIKAI,-101.82062,-97.30622,-41.56592,4.51858
MOTKAI,-48.49636,-43.99032,-26.56808,4.50186
PIXHOV,-34.30944,-29.83266,-21.4016,4.47678
JODFOZ,-40.55018,-36.0943,-22.12474,4.45588
NOQGIL,-40.3161,-35.88112,-21.60642,4.43498
TUJGAI,-34.95734,-30.5558,-20.72444,4.40154
UHADAI,-27.8597,-23.46234,-16.49846,4.39736
MABLAD,-38.81548,-34.4641,-23.199,4.35138
YOYSUB,-36.69622,-32.4995,-19.52896,4.19672
UVASAM,-39.57206,-35.40042,-23.48742,4.17164
PEGCAH,-31.88922,-27.71758,-18.8727,4.17164
MATTOR,-38.73606,-34.58532,-22.9064,4.15074
CUVGOQ,-30.7857,-26.65168,-21.55626,4.13402
OFEHEO,-45.69158,-41.57428,-25.90764,4.12148
FOFCUA,-43.84402,-39.75598,-25.68192,4.08804
NEYYUN,-32.29468,-28.22754,-17.19652,4.06714
AGESIP,-65.81828,-61.75532,-30.91946,4.05878
AKEDIF,-37.75376,-33.69916,-18.58846,4.0546
WUCRUH,-63.35208,-59.31002,-34.08372,4.03788
LUDVUB,-34.89882,-30.8902,-19.41192,4.00862
