,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,
204,ALICEE_clean,8.89229,8.87656,8.89229,1.69743,1244,732.874,0,0,0.594,0.349942,0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
205,ALICII_clean,9.46461,9.44604,9.46461,1.508,1380.75,915.616,0,0,0.6294,0.417375,0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
206,ALIFUY_clean,4.6486,2.79267,4.63894,1.33624,0,0,416.226,311.491,0.458,0.342754,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
207,ALIPEQ_clean,3.69694,2.83849,3.69275,1.68544,0,0,171.161,101.553,0.5374,0.318848,0,"Cd,Zr",No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
209,ALIXID_clean,4.78838,3.08603,4.77521,1.31055,0,0,869.391,663.379,0.4946,0.377399,0,Co,No, ,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
211,ALIXUP_clean,6.38387,5.75713,6.38387,1.33865,1367.26,1021.37,0,0,0.5492,0.410264,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
217,ALONEV_clean,5.59976,4.84057,5.59976,1.49156,1651.89,1107.49,0,0,0.571,0.382821,0,"Nb,Mn",Yes,Nb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
223,ALUKIC_clean,8.54387,6.77342,8.52787,0.56692,2883.21,5085.74,0,0,0.7934,1.39949,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
224,ALUKOI_clean,8.54787,6.76817,8.5436,0.579939,2887.58,4979.11,0,0,0.7926,1.3667,0,Sm,Yes,Sm,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
225,ALUKUO_clean,8.54799,6.78315,8.52991,0.582411,2894.93,4970.58,0,0,0.7922,1.36021,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
226,ALULAV_clean,8.53005,6.74275,8.5229,0.590909,2900.24,4908.1,0,0,0.7924,1.34099,0,Gd,Yes,Gd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
227,ALULEZ_clean,18.75501,13.37911,18.68884,0.425946,1475.35,3463.71,0,0,0.8336,1.95706,0,Ce,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
228,ALULID_clean,7.81513,5.26988,7.81513,0.929552,2122.82,2283.71,0,0,0.6652,0.715614,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
229,ALURAB_clean,6.8318,3.73291,6.33433,1.05182,1255.59,1193.73,0,0,0.5338,0.507503,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
230,ALUREF_clean,6.8305,3.71719,6.1852,1.05415,1260.09,1195.37,0,0,0.5302,0.502967,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
231,ALURIJ_clean,6.87946,3.53974,6.12375,1.07753,1201.6,1115.15,0,0,0.5294,0.49131,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
14480,am301365h_si_002_clean,11.58637,3.48934,11.58637,0.907013,1494.34,1647.54,0,0,0.6382,0.703628,0,Zn,No, ,clean,Y,N,Y,,Y,LENVOR,Y,14/02/2013,10.1021/am301365h,"1 SI, 1 Structure",LENVOR,,,,,,,,,,,,,,,
